x[m], T[K]
1.90084,300
1.90482,300
1.90881,300
1.9128,300
1.91679,300
1.92077,300
1.92476,300
1.92875,300
1.93274,300
1.93672,300
1.94071,300
1.9447,300
1.94869,300
1.95267,300
1.95666,300
1.96065,300
1.96464,300
1.96862,300
1.97261,300
1.9766,300
1.98059,300
1.98457,300
1.98856,300
1.99255,300
1.99654,300
2.00052,300
2.00451,300
2.0085,300
2.01249,300
2.01647,300
2.02046,300
2.02445,300
2.02844,300
2.03242,300
2.03641,300
2.0404,300
2.04439,300
2.04837,300
2.05236,300
2.05635,300
2.06034,300
2.06432,300
2.06831,300
2.0723,300
2.07629,300
2.08027,300
2.08426,300
2.08825,300
2.09224,300
2.09622,300
2.10021,300
2.1042,300
2.10819,300
2.11217,300
2.11616,300
2.12015,300
2.12414,300
2.12812,300
2.13211,300
2.1361,300
2.14009,300
2.14407,300
2.14806,300
2.15205,300
2.15604,300
2.16002,300
2.16401,300
2.168,300
2.17199,300
2.17597,300
2.17996,300
2.18395,300
2.18794,300
2.19192,300
2.19591,300
2.1999,300
2.20389,300
2.20787,300
2.21186,300
2.21585,300
2.21984,300
2.22382,300
2.22781,300
2.2318,300
2.23579,300
2.23977,300
2.24376,300
2.24775,300
2.25174,300
2.25572,300
2.25971,300
2.2637,300
2.26769,300
2.27167,300
2.27566,300
2.27965,300
2.28364,300
2.28762,300
2.29161,300
2.2956,300
2.29959,300
2.30357,300
2.30756,300
2.31155,300
2.31554,300
2.31952,300
2.32351,300
2.3275,300
2.33149,300
2.33547,300
2.33946,300
2.34345,300
2.34744,300
2.35142,300
2.35541,300
2.3594,300
2.36339,300
2.36737,300
2.37136,300
2.37535,300
2.37934,300
2.38332,300
2.38731,300
2.3913,300
2.39529,300
2.39927,300
2.40326,300
2.40725,300
2.41124,300
2.41522,300
2.41921,300
2.4232,300
2.42719,300
2.43117,300
2.43516,300
2.43915,300
2.44314,300
2.44712,300
2.45111,300
2.4551,300
2.45909,300
2.46307,300
2.46706,300
2.47105,300
2.47504,300
2.47902,300
2.48301,300
2.487,300
2.49099,300
2.49497,300
2.49896,300
2.50295,300
2.50694,300
2.51092,300
2.51491,300
2.5189,300
2.52289,300
2.52687,300
2.53086,300
2.53485,300
2.53884,300
2.54282,300
2.54681,300
2.5508,300
2.55479,300
2.55877,300
2.56276,300
2.56675,300
2.57074,300
2.57472,300
2.57871,300
2.5827,300
2.58669,300
2.59067,300
2.59466,300
2.59865,300
2.60264,300
2.60662,300
2.61061,300
2.6146,300
2.61859,300
2.62257,300
2.62656,300
2.63055,300
2.63454,300
2.63852,300
2.64251,300
2.6465,300
2.65049,300
2.65447,300
2.65846,300
2.66245,300
2.66644,300
2.67042,300
2.67441,300
2.6784,300
2.68239,300
2.68637,300
2.69036,300
2.69435,300
2.69834,300
2.70232,300
2.70631,300
2.7103,300
2.71429,300
2.71827,300
2.72226,300
2.72625,300
2.73024,300
2.73422,300
2.73821,300
2.7422,300
2.74619,300
2.75017,300
2.75416,300
2.75815,300
2.76214,300
2.76612,300
2.77011,300
2.7741,300
2.77809,300
2.78207,300
2.78606,300
2.79005,300
2.79404,300
2.79802,300
2.80201,300
2.806,300
2.80999,300
2.81397,300
2.81796,300
2.82195,300
2.82594,300
2.82992,300
2.83391,300
2.8379,300
2.84189,300
2.84587,300
2.84986,300
2.85385,300
2.85784,300
2.86182,300
2.86581,300
2.8698,300
2.87379,300
2.87777,300
2.88176,300
2.88575,300
2.88974,300
2.89372,300
2.89771,300
2.9017,300
2.90569,300
2.90967,300
2.91366,300
2.91765,300
2.92164,300
2.92562,300
2.92961,300
2.9336,300
2.93759,300
2.94157,300
2.94556,300
2.94955,300
2.95354,300
2.95752,300
2.96151,300
2.9655,300
2.96949,300
2.97347,300
2.97746,300
2.98145,300
2.98544,300
2.98942,300
2.99341,300
2.9974,300
3.00139,300
3.00537,300
3.00936,300
3.01335,300
3.01734,300
3.02132,300
3.02531,300
3.0293,300
3.03329,300
3.03727,300
3.04126,300
3.04525,300
3.04924,300
3.05322,300
3.05721,300
3.0612,300
3.06519,300
3.06917,300
3.07316,300
3.07715,300
3.08114,300
3.08512,300
3.08911,300
3.0931,300
3.09709,300
3.10107,300
3.10506,300
3.10905,300
3.11304,300
3.11702,300
3.12101,300
3.125,300
3.12899,300
3.13297,300
3.13696,300
3.14095,300
3.14494,300
3.14892,300
3.15291,300
3.1569,300
3.16089,300
3.16487,300
3.16886,300
3.17285,300
3.17684,300
3.18082,300
3.18481,300
3.1888,300
3.19279,300
3.19677,300
3.20076,300
3.20475,300
3.20874,300
3.21272,300
3.21671,300
3.2207,300
3.22469,300
3.22867,300
3.23266,300
3.23665,300
3.24064,300
3.24462,300
3.24861,300
3.2526,300
3.25659,300
3.26057,300
3.26456,300
3.26855,300
3.27254,300
3.27652,300
3.28051,300
3.2845,300
3.28849,300
3.29247,300
3.29646,300
3.30045,300
3.30444,300
3.30842,300
3.31241,300
3.3164,300
3.32039,300
3.32437,300
3.32836,300
3.33235,300
3.33634,300
3.34032,300
3.34431,300
3.3483,300
3.35229,300
3.35627,300
3.36026,300
3.36425,300
3.36824,300
3.37222,300
3.37621,300
3.3802,300
3.38419,300
3.38817,300
3.39216,300
3.39615,300
3.40014,300
3.40412,300
3.40811,300
3.4121,300
3.41609,300
3.42007,300
3.42406,300
3.42805,300
3.43204,300
3.43602,300
3.44001,300
3.444,300
3.44799,300
3.45197,300
3.45596,300
3.45995,300
3.46394,300
3.46792,300
3.47191,300
3.4759,300
3.47989,300
3.48387,300
3.48786,300
3.49185,300
3.49584,300
3.49982,300
3.50381,300
3.5078,300
3.51179,300
3.51577,300
3.51976,300
3.52375,300
3.52774,300
3.53172,300
3.53571,300
3.5397,300
3.54369,300
3.54767,300
3.55166,300
3.55565,300
3.55964,300
3.56362,300
3.56761,300
3.5716,300
3.57559,300
3.57957,300
3.58356,300
3.58755,300
3.59154,300
3.59552,300
3.59951,300
3.6035,300
3.60749,300
3.61147,300
3.61546,300
3.61945,300
3.62344,300
3.62742,300
3.63141,300
3.6354,300
3.63939,300
3.64337,300
3.64736,300
3.65135,300
3.65534,300
3.65932,300
3.66331,300
3.6673,300
3.67129,300
3.67527,300
3.67926,300
3.68325,300
3.68724,300
3.69122,300
3.69521,300
3.6992,300
3.70319,300
3.70717,300
3.71116,300
3.71515,300
3.71914,300
3.72312,300
3.72711,300
3.7311,300
3.73509,300
3.73907,300
3.74306,300
3.74705,300
3.75104,300
3.75502,300
3.75901,300
3.763,300
3.76699,300
3.77097,300
3.77496,300
3.77895,300
3.78294,300
3.78692,300
3.79091,300
3.7949,300
3.79889,300
3.80287,300
3.80686,300
3.81085,300
3.81484,300
3.81882,300
3.82281,300
3.8268,300
3.83079,300
3.83477,300
3.83876,300
3.84275,300
3.84674,300
3.85072,300
3.85471,300
3.8587,300
3.86269,300
3.86667,300
3.87066,300
3.87465,300
3.87864,300
3.88262,300
3.88661,300
3.8906,300
3.89459,300
3.89857,300
3.90256,300
3.90655,300
3.91054,300
3.91452,300
3.91851,300
3.9225,300
3.92649,300
3.93047,300
3.93446,300
3.93845,300
3.94244,300
3.94642,300
3.95041,300
3.9544,300
3.95839,300
3.96237,300
3.96636,300
3.97035,300
3.97434,300
3.97832,300
3.98231,300
3.9863,300
3.99029,300
3.99427,300
3.99826,300
4.00225,300
4.00624,300
4.01022,300
4.01421,300
4.0182,300
4.02219,300
4.02617,300
4.03016,300
4.03415,300
4.03814,300
4.04212,300
4.04611,300
4.0501,300
4.05409,300
4.05807,300
4.06206,300
4.06605,300
4.07004,300
4.07402,300
4.07801,300
4.082,300
4.08599,300
4.08997,300
4.09396,300
4.09795,300
4.10194,300
4.10592,300
4.10991,300
4.1139,300
4.11789,300
4.12187,300
4.12586,300
4.12985,300
4.13384,300
4.13782,300
4.14181,300
4.1458,300
4.14979,300
4.15377,300
4.15776,300
4.16175,300
4.16574,300
4.16972,300
4.17371,300
4.1777,300
4.18169,300
4.18567,300
4.18966,300
4.19365,300
4.19764,300
4.20162,300
4.20561,300
4.2096,300
4.21359,300
4.21757,300
4.22156,300
4.22555,300
4.22954,300
4.23352,300
4.23751,300
4.2415,300
4.24549,300
4.24947,300
4.25346,300
4.25745,300
4.26144,300
4.26542,300
4.26941,300
4.2734,300
4.27739,300
4.28137,300
4.28536,300
4.28935,300
4.29334,300
4.29732,300
4.30131,300
4.3053,300
4.30929,300
4.31327,300
4.31726,300
4.32125,300
4.32524,300
4.32922,300
4.33321,300
4.3372,300
4.34119,300
4.34517,300
