Reaction;rho_i_v;rho_i_c;A_i;E_i/R;psi;T_reac;;;;;;;;;;;;
;(lb/ft^3);(lb/ft^3);sec-1;(deg R);(---);(in R);;;;;;;;;;;;
A;1.873E+01;0.000E+00;1.200E+04;1.540E+04;3.000E+00;6.000E+02;;;;;;;;;;;;
B;5.619E+01;3.746E+01;4.480E+09;3.680E+04;3.000E+00;1.000E+03;;;;;;;;;;;;
C;9.988E+01;9.988E+01;0.00E+00;0.00;0.00;1.000E+04;The carbon fibers do not pyrolyse;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Note for CMA/FIAT;;Resin volume fraction = 0.5 (Gamma in CMA);;;;;rho = (1-phi) [gamma (rho_A + rho_B) - (1-gamma) rho_c];;;;;;;;;;;
users;;Composite porosity = 0.8 (phi in CMA);;;;;!!! phi must be used if non-zero (even if not shown in the publications);;;;;;;;;;;
;5.250E+02;2.134E+01;4.374E+00;1.149E+00;-6.545E+03;2.058E-01;4.953E-03;;;;;9.450E+02;1.045E+00;-2.814E+03;;;;
;5.500E+02;2.103E+01;5.399E+00;1.135E+00;-6.423E+03;2.144E-01;4.660E-03;;;;;9.900E+02;1.290E+00;-2.761E+03;;;;
;5.750E+02;2.063E+01;7.101E+00;1.120E+00;-6.269E+03;2.229E-01;4.373E-03;;;;;1.035E+03;1.696E+00;-2.695E+03;;;;
;6.000E+02;2.008E+01;1.013E+01;1.106E+00;-6.057E+03;2.318E-01;4.078E-03;;;;;1.080E+03;2.420E+00;-2.604E+03;;;;
;6.250E+02;1.929E+01;1.483E+01;1.098E+00;-5.748E+03;2.411E-01;3.762E-03;;;;;1.125E+03;3.541E+00;-2.471E+03;;;;
;6.500E+02;1.823E+01;2.059E+01;1.095E+00;-5.307E+03;2.511E-01;3.418E-03;;;;;1.170E+03;4.918E+00;-2.281E+03;;;;
;6.750E+02;1.697E+01;2.565E+01;1.097E+00;-4.724E+03;2.614E-01;3.063E-03;;;;;1.215E+03;6.126E+00;-2.031E+03;;;;
;7.000E+02;1.570E+01;2.690E+01;1.102E+00;-4.056E+03;2.713E-01;2.734E-03;;;;;1.260E+03;6.425E+00;-1.744E+03;;;;
;7.250E+02;1.470E+01;2.160E+01;1.111E+00;-3.436E+03;2.803E-01;2.470E-03;;;;;1.305E+03;5.160E+00;-1.477E+03;;;;
;7.500E+02;1.411E+01;1.253E+01;1.130E+00;-3.009E+03;2.881E-01;2.293E-03;;;;;1.350E+03;2.992E+00;-1.294E+03;;;;
;7.750E+02;1.387E+01;6.336E+00;1.169E+00;-2.783E+03;2.951E-01;2.181E-03;;;;;1.395E+03;1.513E+00;-1.196E+03;;;;
;8.000E+02;1.379E+01;3.938E+00;1.218E+00;-2.660E+03;3.018E-01;2.100E-03;;;;;1.440E+03;9.406E-01;-1.143E+03;;;;
;8.250E+02;1.376E+01;3.213E+00;1.248E+00;-2.572E+03;3.082E-01;2.033E-03;;;;;1.485E+03;7.673E-01;-1.106E+03;;;;
;8.500E+02;1.376E+01;3.037E+00;1.256E+00;-2.495E+03;3.145E-01;1.972E-03;;;;;1.530E+03;7.253E-01;-1.073E+03;;;;
;8.750E+02;1.375E+01;3.212E+00;1.244E+00;-2.418E+03;3.208E-01;1.915E-03;;;;;1.575E+03;7.671E-01;-1.039E+03;;;;
;9.000E+02;1.372E+01;5.041E+00;1.186E+00;-2.322E+03;3.274E-01;1.858E-03;;;;;1.620E+03;1.204E+00;-9.981E+02;;;;
;9.250E+02;1.358E+01;9.325E+00;1.146E+00;-2.141E+03;3.357E-01;1.790E-03;;;;;1.665E+03;2.227E+00;-9.202E+02;;;;
;9.500E+02;1.335E+01;1.119E+01;1.141E+00;-1.879E+03;3.457E-01;1.713E-03;;;;;1.710E+03;2.673E+00;-8.077E+02;;;;
;9.750E+02;1.311E+01;1.140E+01;1.143E+00;-1.594E+03;3.563E-01;1.638E-03;;;;;1.755E+03;2.724E+00;-6.854E+02;;;;
;1.000E+03;1.287E+01;1.094E+01;1.148E+00;-1.314E+03;3.667E-01;1.569E-03;;;;;1.800E+03;2.614E+00;-5.650E+02;;;;
;1.025E+03;1.267E+01;1.020E+01;1.153E+00;-1.050E+03;3.769E-01;1.506E-03;;;;;1.845E+03;2.436E+00;-4.512E+02;;;;
;1.050E+03;1.249E+01;9.369E+00;1.159E+00;-8.049E+02;3.865E-01;1.450E-03;;;;;1.890E+03;2.238E+00;-3.460E+02;;;;
;1.075E+03;1.234E+01;8.590E+00;1.165E+00;-5.806E+02;3.955E-01;1.399E-03;;;;;1.935E+03;2.052E+00;-2.496E+02;;;;
;1.100E+03;1.222E+01;7.950E+00;1.169E+00;-3.742E+02;4.040E-01;1.354E-03;;;;;1.980E+03;1.899E+00;-1.609E+02;;;;
;1.125E+03;1.212E+01;7.511E+00;1.171E+00;-1.814E+02;4.118E-01;1.312E-03;;;;;2.025E+03;1.794E+00;-7.799E+01;;;;
;1.150E+03;1.203E+01;7.323E+00;1.170E+00;3.457E+00;4.189E-01;1.275E-03;;;;;2.070E+03;1.749E+00;1.486E+00;;;;
;1.175E+03;1.195E+01;7.429E+00;1.164E+00;1.872E+02;4.253E-01;1.239E-03;;;;;2.115E+03;1.774E+00;8.048E+01;;;;
;1.200E+03;1.187E+01;7.877E+00;1.155E+00;3.777E+02;4.308E-01;1.206E-03;;;;;2.160E+03;1.881E+00;1.624E+02;;;;
;1.225E+03;1.180E+01;8.717E+00;1.144E+00;5.843E+02;4.353E-01;1.174E-03;;;;;2.205E+03;2.082E+00;2.512E+02;;;;
;1.250E+03;1.172E+01;9.991E+00;1.132E+00;8.172E+02;4.387E-01;1.142E-03;;;;;2.250E+03;2.386E+00;3.513E+02;;;;
;1.275E+03;1.162E+01;1.169E+01;1.121E+00;1.087E+03;4.407E-01;1.111E-03;;;;;2.295E+03;2.792E+00;4.675E+02;;;;
;1.300E+03;1.152E+01;1.365E+01;1.114E+00;1.404E+03;4.412E-01;1.080E-03;;;;;2.340E+03;3.259E+00;6.036E+02;;;;
;1.325E+03;1.139E+01;1.527E+01;1.110E+00;1.767E+03;4.405E-01;1.048E-03;;;;;2.385E+03;3.647E+00;7.597E+02;;;;
;1.350E+03;1.127E+01;1.522E+01;1.111E+00;2.154E+03;4.393E-01;1.017E-03;;;;;2.430E+03;3.635E+00;9.258E+02;;;;
;1.375E+03;1.116E+01;1.219E+01;1.125E+00;2.502E+03;4.392E-01;9.887E-04;;;;;2.475E+03;2.912E+00;1.076E+03;;;;
;1.400E+03;1.109E+01;7.980E+00;1.158E+00;2.753E+03;4.413E-01;9.649E-04;;;;;2.520E+03;1.906E+00;1.183E+03;;;;
;1.425E+03;1.105E+01;5.446E+00;1.203E+00;2.916E+03;4.452E-01;9.449E-04;;;;;2.565E+03;1.301E+00;1.254E+03;;;;
;1.450E+03;1.103E+01;4.405E+00;1.237E+00;3.038E+03;4.500E-01;9.272E-04;;;;;2.610E+03;1.052E+00;1.306E+03;;;;
