time,Twall,T1,P0,mdot,rho_ue_CH,sdot_mm_s,recession_mm,thickness_mm,Bg,Bc,Tw_nr,eps_surf,k_surf,iter,converged,resid_pct,mdot_g,mdot_c,T_24mm
0.1,1644,1478.69,101325,1.91637e-12,0.274541,0.290872,0,50,0,0.174815,1644,0.8,0.402688,4,1,-281.317,0,0,300
2,1644,1615.34,101325,0.0161413,0.267459,0.257615,0,50,0.0745631,0.158928,1644,0.896739,0.601649,4,1,-61.7747,0.0199425,0.0423772,300
4,1644,1623.73,101325,0.0105896,0.269312,0.266552,0,50,0.0543246,0.163309,1644,0.897726,0.601549,4,1,-41.2154,0.0146303,0.0439349,300
6,1644,1627.43,101325,0.00827894,0.27016,0.270613,0,50,0.0452192,0.165276,1644,0.898152,0.6015,3,1,-32.0994,0.0122164,0.0446257,300
8,1644,1629.62,101325,0.00695272,0.270677,0.273076,0,50,0.0397252,0.166463,1644,0.898403,0.60147,3,1,-26.6526,0.0107527,0.0450409,300.001
10,1644,1631.12,101325,0.00607273,0.271035,0.274773,0,50,0.03594,0.167275,1644,0.898574,0.601449,3,1,-22.9142,0.009741,0.0453255,300.013
12,1644,1632.23,101325,0.00543768,0.271303,0.276038,0,50,0.033124,0.16788,1644,0.8987,0.601434,3,1,-20.1498,0.00898663,0.045537,300.059
14,1644,1633.09,101325,0.00495321,0.271512,0.27703,0,50,0.0309206,0.168353,1644,0.898797,0.601422,3,1,-17.998,0.00839533,0.0457025,300.189
16,1644,1633.79,101325,0.00456907,0.271683,0.277835,0,50,0.0291339,0.168736,1644,0.898875,0.601413,3,1,-16.261,0.00791519,0.0458367,300.459
18,1644,1634.36,101325,0.00425533,0.271826,0.278507,0,50,0.0276461,0.169055,1644,0.89894,0.601405,3,1,-14.8203,0.00751492,0.0459485,300.929
20,1644,1634.85,101325,0.00399329,0.271947,0.279078,0,50,0.0263814,0.169327,1644,0.898995,0.601398,3,1,-13.6,0.00717433,0.0460435,301.647
22,1644,1635.27,101325,0.00377029,0.272052,0.279572,0,50,0.0252884,0.169561,1644,0.899042,0.601392,3,1,-12.5489,0.00687976,0.0461256,302.649
24,1644,1635.64,101325,0.00357785,0.272144,0.280005,0,50,0.0243312,0.169766,1644,0.899083,0.601387,3,1,-11.6313,0.00662158,0.0461975,303.955
26,1644,1635.96,101325,0.00340961,0.272225,0.280389,0,50,0.0234834,0.169948,1644,0.899119,0.601383,3,1,-10.8209,0.00639278,0.0462612,305.571
28,1644,1636.25,101325,0.00326107,0.272298,0.280733,0,50,0.0227254,0.170111,1644,0.899151,0.601379,2,1,-10.0982,0.0061881,0.0463182,307.496
30,1644,1636.51,101325,0.00312868,0.272364,0.281042,0,50,0.0220422,0.170257,1644,0.89918,0.601376,2,1,-9.44851,0.00600353,0.0463696,309.718
32,1644,1636.74,101325,0.00300981,0.272424,0.281324,0,50,0.0214222,0.17039,1644,0.899206,0.601372,2,1,-8.86033,0.00583593,0.0464162,312.222
34,1644,1636.95,101325,0.00290233,0.272479,0.281581,0,50,0.0208559,0.170512,1644,0.89923,0.60137,2,1,-8.32439,0.00568281,0.0464588,314.989
36,1644,1637.15,101325,0.00280462,0.272529,0.281817,0,50,0.0203361,0.170623,1644,0.899252,0.601367,2,1,-7.83342,0.00554218,0.0464979,318
38,1644,1637.33,101325,0.00271526,0.272575,0.282033,0,50,0.0198565,0.170725,1644,0.899272,0.601365,2,1,-7.38039,0.00541241,0.0465337,321.233
40,1644,1637.5,101325,0.00263313,0.272619,0.28223,0,50,0.0194122,0.170817,1644,0.89929,0.601362,2,1,-6.95921,0.00529214,0.0465664,324.667
42,1644,1637.65,101325,0.0025574,0.272659,0.282414,0,50,0.0189989,0.170903,1644,0.899308,0.60136,2,1,-6.56831,0.00518024,0.0465968,328.282
44,1644,1637.79,101325,0.00248725,0.272697,0.282585,0,50,0.0186132,0.170983,1644,0.899324,0.601358,2,1,-6.20416,0.00507578,0.0466252,332.059
46,1644,1637.93,101325,0.00242206,0.272732,0.282746,0,50,0.0182521,0.171058,1644,0.899338,0.601357,2,1,-5.86387,0.00497795,0.0466518,335.981
48,1644,1638.05,101325,0.00236128,0.272765,0.282896,0,50,0.0179131,0.171129,1644,0.899352,0.601355,2,1,-5.54488,0.00488608,0.0466767,340.029
50,1644,1638.17,101325,0.00230444,0.272797,0.283038,0,50,0.0175939,0.171195,1644,0.899366,0.601353,2,1,-5.24512,0.00479957,0.0467002,344.189
52,1644,1638.28,101325,0.00225114,0.272826,0.283172,0,50,0.0172927,0.171257,1644,0.899378,0.601352,2,1,-4.96266,0.0047179,0.0467224,348.447
54,1644,1638.39,101325,0.00220104,0.272854,0.283299,0,50,0.0170078,0.171316,1644,0.89939,0.601351,2,1,-4.69596,0.00464065,0.0467433,352.789
56,1644,1638.49,101325,0.00215385,0.27288,0.283419,0,50,0.0167378,0.171372,1644,0.899401,0.601349,2,1,-4.44354,0.00456742,0.0467632,357.204
58,1644,1638.58,101325,0.00210928,0.272906,0.283533,0,50,0.0164814,0.171426,1644,0.899411,0.601348,2,1,-4.20423,0.00449786,0.0467821,361.681
60,1644,1638.67,101325,0.00206714,0.272929,0.283642,0,50,0.0162374,0.171476,1644,0.899421,0.601347,2,1,-3.97688,0.00443167,0.0468001,366.21
