time,Twall,T1,P0,mdot,rho_ue_CH,sdot_mm_s,recession_mm,thickness_mm,Bg,Bc,Tw_nr,eps_surf,k_surf,iter,converged,resid_pct,mdot_g,mdot_c,T_24mm
0.001,1000,1000.04,101325,0.687698,0,0,0,50,14.804,0,1000,0.800148,0.508467,1,1,0,4.44121,0,1000.04
0.02,968.241,1000.03,101325,2.02904,4.68595e-29,0,0,50,4.1065e+30,0,968.241,0.802808,0.508467,1,1,147.561,3.99696,0,1000.03
0.04,968.442,1000.03,101325,1.83957,3.06316e-13,0,0,50,2.9505e+13,0,968.442,0.805334,0.508467,1,1,148.501,3.6118,0,1000.03
0.06,968.621,1000.03,101325,1.6806,3.7768e-08,0,0,50,1.28544e+08,0,968.621,0.807626,0.508467,1,1,149.351,3.29094,0,1000.03
0.08,968.739,1000.02,101325,1.54565,1.03649e-05,0,0,50,358742,0,968.739,0.809723,0.508467,1,1,149.911,3.01974,0,1000.02
0.1,968.844,1000.02,101325,1.42964,0.000256865,0,0,50,12314.7,0,968.844,0.811653,0.508467,1,1,150.411,2.78768,0,1000.02
0.12,968.976,1000.02,101325,1.32881,0.000465455,0,0,50,5713.88,0,968.976,0.81344,0.508467,1,1,151.044,2.58695,0,1000.02
0.14,969.059,1000.02,101325,1.24056,0.000778406,0,0,50,3173.62,0,969.059,0.815102,0.508467,1,1,151.447,2.41167,0,1000.02
0.16,969.159,1000.02,101325,1.16258,0.00121895,0,0,50,1891.27,0,969.159,0.816654,0.508467,1,1,151.934,2.25735,0,1000.02
0.18,969.28,1000.02,101325,1.09318,0.00180764,0,0,50,1195.03,0,969.28,0.81811,0.508467,1,1,152.527,2.12047,0,1000.02
0.2,969.426,1000.02,101325,1.03102,0.00256118,0,0,50,793.152,0,969.426,0.819481,0.508467,1,1,153.254,1.99825,0,1000.02
0.22,969.601,1000.02,101325,0.97501,0.00349184,0,0,50,548.825,0,969.601,0.820774,0.508467,1,1,154.14,1.88849,0,1000.02
0.24,969.81,1000.02,101325,0.924284,0.00460721,0,0,50,393.529,0,969.81,0.821997,0.508467,1,1,155.211,1.78937,0,1000.02
0.26,970.057,1000.01,101325,0.87812,0.00591046,0,0,50,290.958,0,970.057,0.823158,0.508467,1,1,156.496,1.69944,0,1000.01
0.28,970.344,1000.01,101325,0.83592,0.00740071,0,0,50,220.913,0,970.344,0.824262,0.508467,1,1,158.022,1.61749,0,1000.01
0.3,970.675,1000.01,101325,0.797191,0.0090736,0,0,50,171.661,0,970.675,0.825314,0.508467,1,1,159.817,1.5425,0,1000.01
0.32,971.051,1000.01,101325,0.761516,0.0109219,0,0,50,136.126,0,971.051,0.826318,0.508467,1,1,161.909,1.47363,0,1000.01
0.34,971.474,1000.01,101325,0.728542,0.0129363,0,0,50,109.896,0,971.474,0.827278,0.508467,1,1,164.33,1.41017,0,1000.01
0.36,971.945,1000.01,101325,0.697971,0.0151056,0,0,50,90.1385,0,971.945,0.828197,0.508467,1,1,167.113,1.35151,0,1000.01
0.38,972.464,1000.01,101325,0.669546,0.0174178,0,0,50,74.9829,0,972.464,0.829079,0.508467,1,1,170.292,1.29713,0,1000.01
0.4,973.032,1000.01,101325,0.643047,0.0198599,0,0,50,63.1662,0,973.032,0.829926,0.508467,1,1,173.907,1.24658,0,1000.01
0.42,973.648,1000.01,101325,0.618284,0.0224189,0,0,50,53.8163,0,973.648,0.83074,0.508467,1,1,178.003,1.19948,0,1000.01
0.44,974.31,1000.01,101325,0.59509,0.0250817,0,0,50,46.3189,0,974.31,0.831524,0.508467,1,1,182.633,1.15548,0,1000.01
0.46,975.02,1000.01,101325,0.57332,0.0278354,0,0,50,40.2337,0,975.02,0.83228,0.508467,1,1,187.867,1.1143,0,1000.01
0.48,975.863,1000.01,101325,0.552757,0.0306678,0,0,50,35.24,0,975.863,0.833009,0.508467,1,1,194.485,1.07568,0,1000.01
0.5,976.754,1000.01,101325,0.533382,0.033567,0,0,50,31.1003,0,976.754,0.833713,0.508467,1,1,201.995,1.03939,0,1000.01
0.52,977.689,1000.01,101325,0.515097,0.0365218,0,0,50,27.6366,0,977.689,0.834394,0.508467,1,1,210.53,1.00522,0,1000.01
0.54,978.668,1000.01,101325,0.497813,0.0395218,0,0,50,24.7138,0,978.668,0.835053,0.508467,1,1,220.256,0.973005,0,1000.01
0.56,979.686,1000.01,101325,0.481454,0.0425574,0,0,50,22.228,0,979.686,0.835691,0.508467,1,1,231.376,0.942577,0,1000.01
0.58,980.742,1000.01,101325,0.465948,0.0456197,0,0,50,20.0984,0,980.742,0.836309,0.508467,1,1,244.152,0.913795,0,1000.01
0.6,981.833,1000.01,101325,0.451233,0.0487004,0,0,50,18.2617,0,981.833,0.836909,0.508467,1,1,258.913,0.886533,0,1000.01
0.62,982.957,1000.01,101325,0.437252,0.051792,0,0,50,16.6677,0,982.957,0.837491,0.508467,1,1,276.092,0.860674,0,1000.01
0.64,984.111,1000.01,101325,0.423953,0.054888,0,0,50,15.2762,0,984.111,0.838056,0.508467,1,1,296.26,0.836117,0,1000.01
0.66,985.293,1000.01,101325,0.411291,0.057982,0,0,50,14.055,0,985.293,0.838605,0.508467,1,1,320.188,0.812766,0,1000.01
0.68,986.5,1000.01,101325,0.399224,0.0610688,0,0,50,12.9778,0,986.5,0.839139,0.508467,1,1,348.948,0.790537,0,1000.01
0.7,987.729,1000.01,101325,0.387711,0.0641433,0,0,50,12.023,0,987.729,0.839659,0.508467,1,1,384.064,0.769353,0,1000.01
0.72,988.979,1000.01,101325,0.37672,0.0672012,0,0,50,11.1731,0,988.979,0.840164,0.508467,1,1,427.791,0.749144,0,1000.01
0.74,990.247,1000.01,101325,0.366216,0.0702387,0,0,50,10.4134,0,990.247,0.840657,0.508467,1,1,483.599,0.729845,0,1000.01
0.76,991.177,1000.01,101325,0.356401,0.0732523,0,0,50,9.73156,0,991.177,0.841137,0.508467,1,1,534.767,0.711399,0,1000.01
0.78,991.676,1000.01,101325,0.347289,0.0762392,0,0,50,9.11743,0,991.676,0.841605,0.508467,1,1,566.862,0.69375,0,1000.01
0.8,992.276,1000.01,101325,0.3385,0.0791967,0,0,50,8.56236,0,992.276,0.842062,0.508467,1,1,611.042,0.676851,0,1000.01
0.82,992.968,1000.01,101325,0.330022,0.0821226,0,0,50,8.05902,0,992.968,0.842507,0.508467,1,1,671.243,0.660655,0,1000.01
0.84,993.739,1000.01,101325,0.321845,0.085015,0,0,50,7.60118,0,993.739,0.842942,0.508467,1,1,754.162,0.645121,0,1000.01
0.86,994.316,1000.01,101325,0.31411,0.0878722,0,0,50,7.1835,0,994.316,0.843367,0.508467,1,1,830.84,0.63021,0,1000.01
0.88,994.903,1000.01,101325,0.306674,0.090693,0,0,50,6.80141,0,994.903,0.843782,0.508467,1,1,926.64,0.615887,0,1000.01
0.9,995.575,1000.01,101325,0.299481,0.0934761,0,0,50,6.45095,0,995.575,0.844188,0.508467,1,1,1067.61,0.602118,0,1000.01
0.92,996.324,1000.01,101325,0.292522,0.0962207,0,0,50,6.12871,0,996.324,0.844585,0.508467,1,1,1285.31,0.588874,0,1000.01
0.94,997.141,1000.01,101325,0.285789,0.098926,0,0,50,5.83172,0,997.141,0.844973,0.508467,1,1,1653.01,0.576125,0,1000.01
0.96,998.019,1000.01,101325,0.279276,0.101591,0,0,50,5.55736,0,998.019,0.845352,0.508467,1,1,2386.26,0.563845,0,1000.01
0.98,998.686,1000,101325,0.273105,0.104217,0,0,50,5.30339,0,998.686,0.845724,0.508467,1,1,3599.16,0.55201,0,1000
1,999.352,1000,101325,0.267157,0.106801,0,0,50,5.06779,0,999.352,0.846088,0.508467,1,1,7305.45,0.540597,0,1000
1.02,1000.1,1000,101325,0.261379,0.109346,0,0,50,4.84882,0,1000.1,0.846445,0.508467,1,1,-46723.5,0.529585,0,1000
